PartNumber,PartDescription,active,ItemCost,ItemCurrencyCode,Length,Width,Height,DimensionUOM,Weight,WeightUOM,Quantity
05-0438-01,"OP PAS,Crom.disp.comp.negative 1450ps/nm",TRUE,7558,USD,,,,,,,0
05-0439-01,"OP PAS,CDC FIB NEG 1500ps/nm 1556nm BW:R",TRUE,6293,USD,,,,,,,0
05-0452-01,"OP PAS,ATTENUATOR, FIXED,SINGLE MODE FC/",TRUE,31,USD,,,,,,,0
05-0456-01,"OP PAS,ATTENUATOR, FIXED, SINGLE MODE SC",TRUE,30.5,USD,,,,,,,0
05-0457-01,"OP PAS,ATTENUATOR, FIXED, SINGLE MODE SC",TRUE,30.5,USD,,,,,,,0
05-0460-01,"OP PAS,ATTENUATOR, FIXED,SINGLE MODE SC/",TRUE,30.5,USD,,,,,,,0
05-0461-01,"OP PAS,ATTENUATOR, FIXED,SINGLE MODE SC/",TRUE,30.5,USD,,,,,,,0
05-0462-01,"OP PAS,ATTENUATOR, FIXED,SINGLE MODE SC/",TRUE,30.5,USD,,,,,,,0
05-0477-01,"OP PAS,Crom.disp.comp.negative 700ps/nm-",TRUE,4082,USD,,,,,,,0
05-0478-01,"OP PAS, BRAGG_BGF ADR3_100GHz_0.2THz",TRUE,9000,USD,,,,,,,0
05-0525-01,"OP PAS,FU FBR SPLTR,1X2,50/50,1600nm",TRUE,57,USD,,,,,,,0
05-0528-01,"OP PAS,PIN PHOTODIODE 1625nm 250um",TRUE,39.8,USD,,,,,,,0
05-0572-02,"OP PAS,ISOL,IN LINE,20dB,1600nm",TRUE,113,USD,,,,,,,0
05-0574-01,"OP PAS,SWDM_1480/1600nm_1x2_IL.0.6dB_IS.",TRUE,151.2,USD,,,,,,,0
05-0579-01,"OP PAS,ASM SPLT._SPLITTER  99/1______nm",TRUE,32,USD,,,,,,,0
05-0604-01,"OP PAS,ASM SPLT._SM_1x2_5/95_1570nm",TRUE,9.72,USD,,,,,,,0
05-0605-01,"OP PAS,SPLITTER_SM_1x2_1570_BW85nm_I.L3.",TRUE,11.8,USD,,,,,,,0
05-0670-02,"OP PAS,SWDM,1480/1590nm,0.6/0.8dB IL",TRUE,174.5,USD,,,,,,,0
05-0693-01,"OP PAS,WDM FLTR,200GH,1585.36nm",TRUE,178,USD,,,,,,,0
05-0695-03,"OP PAS,MUX/DEMUX,BP,C/L/OSC,25dB/10dB IS",TRUE,1430,USD,,,,,,,0
05-0697-01,"OP PAS,CDC_RED_N_1550_PS_NM",TRUE,6476,USD,,,,,,,0
05-0698-01,"OP PAS,CDC_RED_N_1600_PS_NM",TRUE,5364,USD,,,,,,,0
05-0699-01,"OP PAS,CDC_RED_N_1650_PS_NM",TRUE,6827,USD,,,,,,,0
05-0700-01,"OP PAS,CDC_RED_N_1700_PS_NM",TRUE,8609,USD,,,,,,,0
05-0701-01,"OP PAS,CDC_RED_N_1750_PS_NM",TRUE,8836,USD,,,,,,,0
05-0702-01,"OP PAS,CDC_RED_N_1800_PS_NM",TRUE,5944,USD,,,,,,,0
05-0703-01,"OP PAS,CDC_RED_N_1850_PS_NM",TRUE,9141,USD,,,,,,,0
05-0704-01,"OP PAS,CDC_RED_N_1900_PS_NM",TRUE,9518,USD,,,,,,,0
05-0705-01,"OP PAS,CDC_RED_N_1950_PS_NM",TRUE,7935,USD,,,,,,,0
05-0706-01,"OP PAS,CDC_BLUE_N_1550_PS_NM",TRUE,8164,USD,,,,,,,0
05-0707-01,"OP PAS,CDC_BLUE_N_1600_PS_NM",TRUE,50,USD,,,,,,,0
05-0708-01,"OP PAS,CDC_BLUE_N_1650_PS_NM",TRUE,50,USD,,,,,,,0
05-0709-01,"OP PAS,CDC_BLUE_N_1700_PS_NM",TRUE,50,USD,,,,,,,0
05-0710-01,"OP PAS,CDC_BLUE_N_1750_PS_NM",TRUE,50,USD,,,,,,,0
05-0711-01,"OP PAS,CDC_BLUE_N_1800_PS_NM",TRUE,9361,USD,,,,,,,0
05-0712-01,"OP PAS,CDC_BLUE_N_1850_PS_NM",TRUE,7571,USD,,,,,,,0
05-0713-01,"OP PAS,CDC_BLUE_N_1900_PS_NM",TRUE,50,USD,,,,,,,0
05-0714-01,"OP PAS,CDC_BLUE_N_1950_PS_NM",TRUE,50,USD,,,,,,,0
05-0715-01,"OP PAS,CDC_IR_N_50_PS_NM",TRUE,1286,USD,,,,,,,0
05-0716-01,"OP PAS,CDC_IR_N_100_PS_NM",TRUE,2023,USD,,,,,,,0
05-0718-01,"OP PAS,CDC_IR_N_200_PS_NM",TRUE,3147,USD,,,,,,,0
05-0719-01,"OP PAS,CDC_IR_N_250_PS_NM",TRUE,3673,USD,,,,,,,0
05-0720-01,"OP PAS,CDC_IR_N_300_PS_NM",TRUE,4229,USD,,,,,,,0
05-0721-01,"OP PAS,CDC_IR_N_350_PS_NM",TRUE,4739,USD,,,,,,,0
05-0722-01,"OP PAS,CDC_IR_N_400_PS_NM",TRUE,5290,USD,,,,,,,0
05-0723-01,"OP PAS,CDC_IR_N_450_PS_NM",TRUE,5841,USD,,,,,,,0
05-0724-01,"OP PAS,CDC_IR_N_500_PS_NM",TRUE,6392,USD,,,,,,,0
05-0725-01,"OP PAS,CDC_IR_N_550_PS_NM",TRUE,6943,USD,,,,,,,0
05-0726-01,"OP PAS,CDC_IR_N_600_PS_NM",TRUE,7494,USD,,,,,,,0
05-0727-01,"OP PAS,CDC_IR_N_650_PS_NM",TRUE,8114,USD,,,,,,,0
05-0728-01,"OP PAS,CDC_IR_N_700_PS_NM",TRUE,8670,USD,,,,,,,0
05-0729-01,"OP PAS,CDC_IR_N_750_PS_NM",TRUE,9225,USD,,,,,,,0
05-0730-01,"OP PAS,CDC_IR_N_800_PS_NM",TRUE,9781,USD,,,,,,,0
